Original File name;Location;Suppliers Reference;Title;Description;Year;Creator;Keywords;caption;image_id;IMAGE LINK
2005-010-1-2-17.tif;British Empire and Commonwealth Collections at Bristol Archives;2005/010/1/2/17;Aboriginal boy with ducks;"A young aboriginal holding ducks.

Caption reads: These ducks have been caught by the leg by underwater swimmers.";1925;;Australia;Aboriginal boy with ducks;230192;
2005-010-1-2-23.tif;British Empire and Commonwealth Collections at Bristol Archives;2005/010/1/2/23;Turtle eggs;"Two aboriginal men squatting beside turtle eggs.

Caption reads: Turtles bury their eggs deep in the hot sand for hatching.";1925;;Australia;Turtle eggs;230198;
2005-010-1-2-6.tif;British Empire and Commonwealth Collections at Bristol Archives;2005/010/1/2/6;Making a fire with sticks;"Two aboriginal men are making fire using sticks

Caption reads: Fire makers";1925;;Australia;Making a fire with sticks;230181;
5700.tif;British Empire and Commonwealth Collections at Bristol Archives;2003/222/1/2/89;Arabs of Hamata, Blue Nile;Printed caption reads: 'The Arabs of Hamata, Blue Nile. Published by G N Morhig, The English Pharmacy, Khartoum. Copyright 185'. A crowd of onlookers watch as two Sudanese men perform a sword display. They jump energetically into the air, wielding their swords above their heads with their shields raised.;[c.1906];;Sudan;Arabs of Hamata, Blue Nile;115174;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/768dd14d02e736f4bf4e1546464b7983
5720.tif;British Empire and Commonwealth Collections at Bristol Archives;2003/222/1/1/77;Sandstorm sweeping over Khartoum, 6 June 1906;Printed caption reads: 'Sandstorm (Huboub) Sweeping over Khartoum, North, June 6th 1906. Published by G N Morhig, The English Pharmacy, Khartoum. Copyright 155'. Dramatic view of a wall of sand moving across the landscape.;[c.1906];;Sudan;Sandstorm sweeping over Khartoum, 6 June 1906;115696;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/4deeaa253818fc922bc526307ec30371
5715.tif;British Empire and Commonwealth Collections at Bristol Archives;2003/222/1/1/59;Water Carriers;Printed caption reads: 'Water Carriers. Published by G N Morhig, The English Pharmacy, Khartoum. Copyright 92'. A group of Sudanese women, dressed in long robes and headscarves, walk along a road carrying water in ceramic pots on their heads.;[c.1906];;Sudan;Water Carriers;115164;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/6eb57273935154821416ca83c6e1a907
2012-001-6-7-Y-005.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/Y5;Johnson speaking to [njs?] before putting it on plantain;"Ruel Collection: Banyang
Johnson speaking to [njs?] before putting it on plantain
April 1954";Apr-54;;Cameroon;Johnson speaking to [njs?] before putting it on plantain;185678;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/8b8a22e4b0f2fd7a0dee86b962365d31
2012-001-6-7-T-001.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/T1;General view of Joseph Tambe's farm;"Ruel Collection: Banyang
General view of Joseph Tambe's farm. 2nd year crop. Beans, groundnuts, maize.
15/04/1954";15/04/1954;;Cameroon;General view of Joseph Tambe's farm;185646;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/c92d283b9dc58c0647329ea8f72c7bff
2012-001-6-7-U-001.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/U1;Tambe - clearing;"Ruel Collection
Tambe - clearing
15/04/1954";15/04/1954;;Cameroon;Tambe - clearing;185650;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/bc273190479d8690d60ef329e12a6c13
5691.tif;British Empire and Commonwealth Collections at Bristol Archives;2003/222/1/2/61;Women washing clothes in the river at Wau, Bahr-El-Ghazal;Printed caption reads: 'Washing Day at Wau, Bahr-El-Ghazal. Published by G N Morhig, The English Pharmacy, Khartoum. Copyright 62'.;[c.1906];;Sudan;Women washing clothes in the river at Wau, Bahr-El-Ghazal;114023;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/ec4d815770e49529380d26e0968b7866
5710.tif;British Empire and Commonwealth Collections at Bristol Archives;2003/222/1/1/29;The Gordon Hotel at Khartoum;Printed caption reads: 'The Gordon Hotel Khartoum. Published by G N Morhig, The English Pharmacy, Khartoum. Copyright 210'. Exterior view of the façade of the Gordon Hotel in Khartoum. The grand, colonial-style, three-storey building was named in honour of General Charles Gordon (1833-1885).;[c.1906];;Sudan;The Gordon Hotel at Khartoum;114824;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/c792795cd116a0e89e23d170a95b5ac8
5670.tif;British Empire and Commonwealth Collections at Bristol Archives;2003/222/1/2/11;H.R.H. The Duke of Connaught leaving Omdurman by the South Gate;Printed caption reads: 'H.R.H. The Duke of Connaught Leaving Omdurman By the South Gate. Published by G N Morhig, The English Pharmacy, Khartoum. Copyright 49'. The Duke of Connaught and his entourage, all dressed in military uniform, ride through a stone archway on horseback.;[c.1906];;Sudan;H.R.H. The Duke of Connaught leaving Omdurman by the South Gate;114878;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/54fb667de96f2a4a366cf5151b8be7c3
5705.tif;British Empire and Commonwealth Collections at Bristol Archives;2003/222/1/1/11;Lines of military figures outside the Gordon College, Khartoum;Printed caption reads: 'At the Gordon College, Khartoum. Published by G N Morhig, The English Pharmacy, Khartoum. Copyright 75'. Lines of Sudanese students, dressed in a uniform of white suits and fez hats, wait for an inspection by military officers in a courtyard outside Gordon College.;[c.1906];;Sudan;Lines of military figures outside the Gordon College, Khartoum;115252;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/42bac9bd293b50446aae463f35490abc
5693.tif;British Empire and Commonwealth Collections at Bristol Archives;2003/222/1/2/69;Local Sheikhs, Bahr-el-Ghazal;Printed caption reads: 'Native Sheikhs, Bahr-el-Ghazal. Published by G N Morhig, The English Pharmacy, Khartoum. Copyright 165'. Two men in loin cloths and armed with spears pose for a photograph.;[c.1906];;Sudan;Local Sheikhs, Bahr-el-Ghazal;116328;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/9aef0d51a37dd7b05603cbba0c46eb0a
5696.tif;British Empire and Commonwealth Collections at Bristol Archives;2003/222/1/2/75;Group of Shilluks, Upper Nile;Printed caption reads: 'The Shulluks, Upper Nile. Published by G N Morhig, The English Pharmacy, Khartoum. Copyright 102'. Group portrait of three Shilluk warriors. Each man wears a distinctive hairstyle, decorated with feathers, and carries a spear.;[c.1906];;Sudan;Group of Shilluks, Upper Nile;116335;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/4b03702297d0e6ce98f0831f4d46aeff
5698.tif;British Empire and Commonwealth Collections at Bristol Archives;2003/222/1/2/82;Governor's boat, called the Elfin on the Blue Nile;"Printed caption reads: 'The Governor's Boat (the ""Elfin"") in the Blue Nile. Published by G N Morhig, The English Pharmacy, Khartoum. Copyright 17'. A paddle steamer named 'The Elfin' travels along the River Nile, flying a British Empire flag at its stern and a Ottoman Empire flag at its bow.";[c.1906];;Sudan;Governor's boat, called the Elfin on the Blue Nile;116667;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/113a434a5b1201c6e8f634fc02edbc6a
5677.tif;British Empire and Commonwealth Collections at Bristol Archives;2003/222/1/2/36;Government House, Wad Madani;Printed caption reads: 'Government House, Wad Medani. Published by G N Morhig, The English Pharmacy, Khartoum. Copyright 181'. View of Government House at Wad Madani, a large, two-storey building with rounded arch windows, pinnicles along its parapet, and two square towers.;[c.1906];;Sudan;Government House, Wad Madani;119332;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/582855535c42ab3f5ff5544390b3c467
5671.tif;British Empire and Commonwealth Collections at Bristol Archives;2003/222/1/2/17;Sudanese cavalry in a 'tent-pegging' competition;Printed caption reads: 'Tent Pegging by Sudanese Cavalry. Published by G N Morhig, The English Pharmacy, Khartoum. Copyright 233'. A crowd of onlookers watch as four Sudanese cavalrymen of the Anglo-Egyptian army engage in a 'tent-pegging' competition. 'Tent-pegging' is a traditional cavalry sport that requires the rider to pick up small ground targets using a sword or lance whilst riding at a gallop.;[c.1906];;Sudan;Sudanese cavalry in a 'tent-pegging' competition;120546;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/ed80c5e313aa895819e946d4c2ab95f9
5675.tif;British Empire and Commonwealth Collections at Bristol Archives;2003/222/1/2/32;View of Abu Simbel Temple;Printed caption reads: 'Abu Simbel Temple on the Way up to Khartoum. Published by G N Morhig, The English Pharmacy, Khartoum. Copyright 178'. A close view of the carved figures of the Abu Simbel Temple.;[c.1906];;Sudan;View of Abu Simbel Temple;120584;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/ce741bbacd3622f51e676d9a6d4d747d
2003-174-1-45.tif;British Empire and Commonwealth Collections at Bristol Archives;2003/174/1/45;View of village across water;View of village across water. Stamp: Jonathan A. Green Photographer;[c.1900];;Nigeria;View of village across water;217705;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/1e17fd7f1fcc3cb17b877c6234b3520c
2005-010-1-2-31.tif;British Empire and Commonwealth Collections at Bristol Archives;2005/010/1/2/31;Dancing at the Coroboree;"A group of aboriginal men dancing.

Caption reads: Coroboree.";1925;;Australia;Dancing at the Coroboree;230206;
2005-010-1-2-32.tif;British Empire and Commonwealth Collections at Bristol Archives;2005/010/1/2/32;Aboriginal dancing;A group of aboriginal men dancing, wearing decorative bodypaint.;1925;;Australia;Aboriginal dancing;230207;
2005-010-1-2-57.tif;British Empire and Commonwealth Collections at Bristol Archives;2005/010/1/2/57;Butterfly on a flower;Butterfly on a flower.;1925;;Australia;Butterfly on a flower;230221;
2005-010-1-2-65.tif;British Empire and Commonwealth Collections at Bristol Archives;2005/010/1/2/65;Frilled lizard;"Frilled lizard.

Caption reads: Frilled lizard.";1925;;Australia;Frilled lizard;230228;
2005-010-1-2-70.tif;British Empire and Commonwealth Collections at Bristol Archives;2005/010/1/2/70;Koala bear with her cub;Koala bear with her cub.;1925;;Australia;Koala bear with her cub;230229;
BEC 2005-010-1-7-143.tif;British Empire and Commonwealth Collections at Bristol Archives;2005/010/1/7/143;Close-up of chief attending meeting at Enugu;Caption reads: 'CHIEFS AT ENUGU';1960;;Nigeria;Close-up of chief attending meeting at Enugu;221887;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/666d5e4a6bac054a505aa58737288e8c
9583.tif;British Empire and Commonwealth Collections at Bristol Archives;2005/010/1/11/10;A busy side street in Hong Kong;"A busy side street in Hong Kong
Street traders vie for business on a city side street beneath a profusion of signs and advertisements written in Chinese script. 
Original Manuscript Caption: A side street in the centre of the city";1963;;Hong Kong;A busy side street in Hong Kong;122142;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/54f9a554ee4ffcb6b25ba80e47af9de1
11717.tif;British Empire and Commonwealth Collections at Bristol Archives;1999/221/1/33/55;Hastings Viaduct, Sierra Leone;"View of Hastings Viaduct under construction.
Caption reads: No. 68 Hastings Viaduct shewing Freetown abutment. 6 Nov. 97";1897;;Sierra Leone;Hastings Viaduct, Sierra Leone;116847;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/231041a019acc2f8f5c04f85a97cd1f2
11719.tif;British Empire and Commonwealth Collections at Bristol Archives;1999/221/1/33/57;Orogon Viaduct, Sierra Leone;"View of girder being moved during the construction of Orogon Viaduct.
Caption reads: No. 70 Launching 100ft Girder at Orogon. 22.11.97";1897;;Sierra Leone;Orogon Viaduct, Sierra Leone;116849;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/5f808abbe3a9992f28f79bc01166c773
11692.tif;British Empire and Commonwealth Collections at Bristol Archives;1999/221/1/33/30;Nicol Brook Viaduct, Sierra Leone;"View of Nicol Brook Viaduct under construction. The viaduct is almost completed.
Caption reads: Nicol Brook Viaduct taken from Freetown side Height 52 feet Length 281 feet";[c.1897];;Sierra Leone;Nicol Brook Viaduct, Sierra Leone;122365;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/49f2a70ebc5433fbfa54b8c23b62de43
11666.tif;British Empire and Commonwealth Collections at Bristol Archives;1999/221/1/33/4;Railway workshops, Sierra Leone;"View of exterior of workshops showing 2 rail carts and a locomotive.
Caption reads: Front view of Shops";[c.1897];;Sierra Leone;Railway workshops, Sierra Leone;122515;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/824f6bc0ed74af6a8d0cbcb51618e78f
11667.tif;British Empire and Commonwealth Collections at Bristol Archives;1999/221/1/33/5;Railway workshops, Sierra Leone;"View of railway workshops behind a stack of barrels, with 2 figures in the foreground.
Caption reads: View of Shops from Main Line";[c.1897];;Sierra Leone;Railway workshops, Sierra Leone;122323;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/c9350f0f46bc28156e23abb61dbe00b6
11672.tif;British Empire and Commonwealth Collections at Bristol Archives;1999/221/1/33/10;Kissey Viaduct, Sierra Leone;"General view of viaduct.
Caption reads: Kissey Viaduct looking towards Freetown.";[c.1897];;Sierra Leone;Kissey Viaduct, Sierra Leone;122373;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/3864c17a4a2e1c32acfbbcdab7945ba7
11676.tif;British Empire and Commonwealth Collections at Bristol Archives;1999/221/1/33/14;Bridge between Kissey and Wellington, Sierra Leone;"View showing rail cart on the bridge and several figures standing nearby. 
Caption reads: 20ft Bridge between Kissey & Wellington";[c.1897];;Sierra Leone;Bridge between Kissey and Wellington, Sierra Leone;122388;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/0780759a52bc9d4f2530e40fd58077e5
11677.tif;British Empire and Commonwealth Collections at Bristol Archives;1999/221/1/33/15;Temporary bridge near Wellington Brook, Sierra Leone;"View of temporary bridge crossing a gulley. Four figures are on a rail cart on the bridge. 
Caption reads: Temporary Bridge crossing Gulley beyond Wellington Brook 30 feet high";[c.1897];;Sierra Leone;Temporary bridge near Wellington Brook, Sierra Leone;122313;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/f0b6693f8df0fd8d74e106303c47ab05
11689.tif;British Empire and Commonwealth Collections at Bristol Archives;1999/221/1/33/27;Robiss Viaduct, Sierra Leone;"View of foundations of the Robiss Viaduct during its construction. Workers can be seen in the foreground clearing the ground.
Caption reads: 35 Robiss Viaduct foundations from Freetown side";[c.1897];;Sierra Leone;Robiss Viaduct, Sierra Leone;122320;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/688f761468051839cd64d2bc6a8e0bd4
11723.tif;British Empire and Commonwealth Collections at Bristol Archives;1999/221/1/34/3;Hastings Viaduct, Sierra Leone;"View of Hastings Viaduct from the south.
Caption reads; Hastings Viaduct, taken from the South side, 15th April 1898.";1898;;Sierra Leone;Hastings Viaduct, Sierra Leone;116853;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/b5e0393f0b1d2202656cd372b1063189
11734.tif;British Empire and Commonwealth Collections at Bristol Archives;1999/221/1/34/14;Water Street Station, Sierra Leone;"View showing station building under construction at side of railway track. 
Caption reads: Water Street Station, May 8th 1898.";1898;;Sierra Leone;Water Street Station, Sierra Leone;116864;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/c507f11067efec7a83d09ce50c31a5dd
11735.tif;British Empire and Commonwealth Collections at Bristol Archives;1999/221/1/34/15;Troops on board a train heading for Kuala, Sierra Leone;"View showing troops on board a stationary train with station buldings in the background.
Caption reads: Troops leaving for Kuala.";1898;;Sierra Leone;Troops on board a train heading for Kuala, Sierra Leone;116865;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/76ba15e60ca4861f788d934e44b227bf
11740.tif;British Empire and Commonwealth Collections at Bristol Archives;1999/221/1/34/20;Carriage Shed at [Cline] Town, Sierra Leone;"View of carriage shed under construction.
Caption reads: Carriage Shed, Clive Town, May 8th 1898.";1898;;Sierra Leone;Carriage Shed at [Cline] Town, Sierra Leone;116870;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/c84954f56170f285ecc9e0ed69d7a9ba
11750.tif;British Empire and Commonwealth Collections at Bristol Archives;1999/221/1/34/30;[Cline] Town Railway Station, Sierra Leone;"View showing exterior of [Cline] Town Railway Station with railway track in foreground.
Caption reads: S.L.G.Ry. Chine Town Station, July 3rd 1898.";1898;;Sierra Leone;[Cline] Town Railway Station, Sierra Leone;116880;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/1c5d9aad07c1720ae79e1d539f1de6a4
11752.tif;British Empire and Commonwealth Collections at Bristol Archives;1999/221/1/34/32;Hydraulic wheel and gantry, Sierra Leone;"View of wheel and gantry outside workshop with church in background.
Caption reads: S.L.G.Ry. Hydraulic Wheel & Gantry, July 3rd 1898.";1898;;Sierra Leone;Hydraulic wheel and gantry, Sierra Leone;116882;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/1826441cfd782262d21fa3a151821210
11760.tif;British Empire and Commonwealth Collections at Bristol Archives;1999/221/1/34/40;[Kissey] Railway Station, Sierra Leone;"View showing station under construction.
Caption reads: S.L.G.Ry. Keisey Station, Sep. 13th 1898.";1898;;Sierra Leone;[Kissey] Railway Station, Sierra Leone;116890;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/453d3553663b3cc6a8a483320a6efad3
BEC 2005-078-1-104[v2].tif;British Empire and Commonwealth Collections at Bristol Archives;2005/078/1/104;Entering Kismayu Harbour;"Very distant shot of buildings from the water.

Original manuscript caption: Entering Kismayu harbour. Another steamer in distance.";c. 1910;;"Somalia
Jubaland";Entering Kismayu Harbour;205226;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/449b945a013e6bb4d06690415c0c25e5
BEC 2005-078-1-123[v2].tif;British Empire and Commonwealth Collections at Bristol Archives;2005/078/1/123;Dining room;"Corner of a room with dining table and standard lamp

Original manuscript caption: My dining room";c. 1910;;"Somalia
Jubaland";Dining room;205245;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/4a15122d2ed00075a12479fa278fd326
BEC 2005-078-1-126[v2].tif;British Empire and Commonwealth Collections at Bristol Archives;2005/078/1/126;Wa Boni village;"View of round huts with Somalian villagers and a European man standing  in front of them.

Original manuscript caption: Wa Boni huts. A native river village";c. 1910;;"Somalia
Jubaland";Wa Boni village;205249;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/5c77b2d804bf3d5ed033b73ca4f4a989
BEC 2005-078-1-132[v2].tif;British Empire and Commonwealth Collections at Bristol Archives;2005/078/1/132;Colonial officials, Jubaland;"Group of European men posing on the steps of the Jubaland Club with a dog.

Original manuscript caption: Juberland Officials";c. 1910;;"Somalia
Jubaland";Colonial officials, Jubaland;205255;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/15093f0546a4c75212c8dd3382a00fe6
BEC 2005-078-1-143[v2].tif;British Empire and Commonwealth Collections at Bristol Archives;2005/078/1/143;Police troops with camels;"Group of Somali men, some of them in Police uniform, loading camels in a clearing

Original manuscript caption: Loading up ready for next march";c. 1910;;"Somalia
Jubaland";Police troops with camels;205266;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/d028e0f9848800dd7d6b50a39aab876d
BEC 2005-078-1-207[v2].tif;British Empire and Commonwealth Collections at Bristol Archives;2005/078/1/207;Oryz Beisa;"Oryx Beisa lying in a field

Original manuscript caption: My best Oryz Beisa";c. 1910;;"Somalia
Jubaland";Oryz Beisa;205330;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/120e3da8f3d6e0bf9af8c7e70f6017b2
8044.tif;British Empire and Commonwealth Collections at Bristol Archives;2001/243/1/1/2/121;Attock Fort;"View looking down on the fort from the hills above, taken during an official visit with the Lieutenant Governor in November 1920.

Original manuscript caption: Attock Fort";1920;;"India
Pakistan";Attock Fort;121321;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/a80ba6b02726fa13cd1fc786829d2353
8059.tif;British Empire and Commonwealth Collections at Bristol Archives;2001/243/1/1/2/223;Street scene, Middle East;Street scene showing domed building, part of a set showing city scenes, probably in Baghdad.;1922;;Iraq;Street scene, Middle East;121336;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/ad37601ce99584461b35bd0db260c7fa
8040.tif;British Empire and Commonwealth Collections at Bristol Archives;2001/243/1/1/2/49;River boat at Bostan;"View towards rear of a locally built wooden boat on the river with local helmsman and a cloaked individual in foreground. From a section of the album featuring images taken during the Mesopotamian campaign in WW1.

Original manuscript caption: Bostan";1917;;Iran;River boat at Bostan;121316;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/8bff02f793e37d38247ca7d840184cac
7971.tif;British Empire and Commonwealth Collections at Bristol Archives;2001/243/1/1/3/13;The Harimandir Sahib at Amritsar;"View of the Harimandir Sahib, or Golden Temple, the most sacred Gurdwara in all of Sikhism. 

Original manuscript caption:  GOLDEN TEMPLE AMRITSAR";1920;;India;The Harimandir Sahib at Amritsar;114804;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/a76621d33b49decc88146fc7afd61cf9
7969.tif;British Empire and Commonwealth Collections at Bristol Archives;2001/243/1/1/3/15;The Harimandir Sahib at Amritsar;"A walkway leads over a pool to the Harimandir Sahib, or Golden Temple of Amritsar. 

Original manuscript caption:  GOLDEN TEMPLE AMRITSAR";1920;;India;The Harimandir Sahib at Amritsar;114805;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/ff097630194affce5f22866421a9a03e
2001-243-1-1-3-26.tif;British Empire and Commonwealth Collections at Bristol Archives;2001/243/1/1/3/26;Sessions House, Palampur;"Exterior view of Sessions House, Palampur, where Winthrop stayed en route for Suket in March 1920.

Original manuscript caption: SESSIONS HOUSE PALAMPUR, 28/3/20";28-Mar-20;;India;Sessions House, Palampur;215200;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/8cb1bd8873fd19a8690df8ed9ffdd675
7982.tif;British Empire and Commonwealth Collections at Bristol Archives;2001/243/1/1/3/33;Victoria Bridge in Mandi, India;"View of Victoria Bridge over the Beas River at Mandi. The suspension bridge was built by Raja Bijai Sen and the colonial British government in 1877. 

Original manuscript caption: MANDI BRIDGE";1920;;India;Victoria Bridge in Mandi, India;114163;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/9bc0d72315b201e702b5191bd63134ac
2001-243-1-1-3-34.tif;British Empire and Commonwealth Collections at Bristol Archives;2001/243/1/1/3/34;Marquee tents, Suket;"View of marquee style tents in Suket, presumably set up for the Raja's investiture overseen by Lieutenant Governor Maclagan.

Original manuscript caption: SUKET";Mar-20;;India;Marquee tents, Suket;215203;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/ecace1dcc4104f093525056014f6f3c6
2001-243-1-1-3-45.tif;British Empire and Commonwealth Collections at Bristol Archives;2001/243/1/1/3/45;Investiture of the Raja of Suket;"A Guard of Honour stands to attention at the commencement of the investiture of the Raja of Suket. Crowds are assembled around the perimeter of the grassy area where the ceremony is taking place.

Original manuscript caption: Arrival at Investiture";30-Mar-20;;India;Investiture of the Raja of Suket;215213;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/75e71c1b9e8565c09b47ece35de723f4
2001-243-1-1-3-49.tif;British Empire and Commonwealth Collections at Bristol Archives;2001/243/1/1/3/49;Canal bank, Abazai;"View along the canal bank at Abazai, taken at a bathing picnic.

Original manuscript caption: ABAZAI
11/4/20";11-Apr-20;;"Pakistan
India";Canal bank, Abazai;215216;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/c75e045d18087ba6689dbc84fa02a4c8
2001-243-1-1-3-71.tif;British Empire and Commonwealth Collections at Bristol Archives;2001/243/1/1/3/71;The Palace, Chamba;"View of the Akhand Chandi Palace, Chamba, with a grassy open space in the foreground. 

Original manuscript caption: THE PALACE";Apr-20;;India;The Palace, Chamba;215235;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/c98579572f7fd415d6c9c6fdddcdeecf
2172.tif;British Empire and Commonwealth Collections at Bristol Archives;2003/071/1/1/3/17;Washing clothes at Ballygunge, India;"Indian men wash clothes on wooden washing boards propped up in the mud of a shallow lake at Ballygunge, a locality of Kolkata. 

Original manuscript caption: Washing at Ballygunge";c. 1900-1905;;India;Washing clothes at Ballygunge, India;114024;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/4db7da9f6850d2b7d9d65df6a78b5b65
2141.tif;British Empire and Commonwealth Collections at Bristol Archives;2003/071/1/1/3/23;The 'Gayabari Reverse', Darjeeling Railway;"View of the 'Gayabari Reverse' on the Darjeeling Hill Railway, showing two trains, one busy passenger train and one with covered goods wagons. 

Printed caption: No. 45. GIABAREE REVERSE 
TH. PAAR. DARJEELING 

Original manuscript caption: Ciabaree Reverse [sic]
Darjeeling Railway";c. 1900;;India;The 'Gayabari Reverse', Darjeeling Railway;114831;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/a6f9be709a67ac41abaaacf8438cde3d
2143.tif;British Empire and Commonwealth Collections at Bristol Archives;2003/071/1/1/3/25;'Chunbhati Loop', Darjeeling Railway;"View of a steam train on the 'Chunbhati Loop', a tight loop of railway line on the Darjeeling Hill Railway. 

Printed caption: No. 42 CHINBATTI LOOP 
TH. PAAR. DARJEELING

Original manuscript caption: Chinbatti Loop
Darjeeling Railway";c. 1900;;India;'Chunbhati Loop', Darjeeling Railway;120371;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/c601da6dda2bbab84629335fff5e12cd
2146.tif;British Empire and Commonwealth Collections at Bristol Archives;2003/071/1/1/3/30;The 'Witch of Ghoom';"A woman, probably Tibetan, known locally as the ‘Witch of Ghoom’ (Ghum), a village near Darjeeling. Several different photographs of this woman exist in postcard and cigarette card from from around 1900, all similarly identifying her as the ‘Witch of Ghoom'.

Printed caption: No. 88. WITCH OF GHOOM
TH. PAAR. DARJEELING

Original manuscript caption: The Witch of Ghoom";c. 1900;;India;The 'Witch of Ghoom';114464;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/8b529678cdadf2963abc773bb2370f72
